                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2893,                  3.649,                 2.3733,                0.00292,                  0.875,                0.00318,                0.00106,                  2.116,                 4.8216,                 3.1051,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.0174,                 3.2729,                 2.1172,                0.00333,                      1,                0.35641,                0.17161,                 1.7021,                 4.0827,                  1.869,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.7245,                 3.1019,                 1.8271,                0.00333,                      1,                  0.935,                0.51372,                 1.5455,                 3.5446,                 1.5798,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.9194,                 3.0248,                  1.903,                0.00333,                      1,                0.74062,                0.31025,                 1.4384,                 3.5526,                 1.5804,             0.00029109,             0.00029109,             0.00029109
                      5,                  1.691,                 2.2886,                 1.6322,                0.00333,                      1,                 0.6291,                0.21846,                 1.8094,                 3.7107,                 1.6709,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.3545,                  2.326,                  1.433,                0.00333,                      1,                0.81969,                0.27334,                 1.7016,                 3.6524,                 1.6837,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.4619,                 2.2643,                 1.5053,                0.00333,                      1,                  0.995,                0.48321,                 1.6352,                 3.4583,                 1.8014,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.3711,                 2.2613,                 1.4595,                0.00333,                      1,                   0.86,                0.50454,                 1.3046,                 3.4124,                  1.395,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.4468,                 2.0546,                 1.4807,                0.00333,                      1,                0.91875,                0.48421,                 1.4237,                 3.3377,                 1.5663,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.3115,                 1.8664,                 1.3925,                0.96288,                    0.5,                0.75574,                0.49651,                 1.2047,                 3.2107,                 1.4624,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.4593,                 2.1427,                 1.5437,                      1,                 0.5254,                0.77971,                 0.4233,                  1.598,                 2.8816,                 1.7344,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.4753,                 1.7629,                 1.4961,                0.92787,                    0.5,                0.72333,                0.35368,                 1.7582,                 2.8935,                 1.8975,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.3816,                 1.8046,                 1.4243,                0.85988,                  0.375,                0.71191,                0.45507,                 1.4363,                  3.337,                 1.6628,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.1955,                 1.8936,                 1.3096,                0.97711,                    0.5,                 0.7113,                0.45837,                 1.4458,                 3.1865,                 1.6437,             0.00095843,             0.00095843,             0.00095843
                     15,                  1.437,                 1.9533,                 1.4947,                0.80984,                0.53689,                0.76058,                0.50751,                 1.4051,                 3.0107,                 1.6348,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.2979,                 1.8179,                 1.2915,                0.80984,                0.53689,                0.76058,                0.50751,                 1.4051,                 3.0107,                 1.6348,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.2844,                 1.6766,                 1.2522,                0.96698,                  0.875,                  0.907,                0.63738,                 1.2743,                 2.4774,                 1.5016,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.2543,                 1.5643,                 1.3272,                0.98897,                  0.875,                0.98167,                0.65576,                 1.2282,                 2.0393,                 1.4654,               0.001181,               0.001181,               0.001181
                     19,                 1.2503,                 1.6591,                 1.3414,                0.98897,                  0.875,                0.98167,                0.65576,                 1.2282,                 2.0393,                 1.4654,              0.0012327,              0.0012327,              0.0012327
